title,date,apply,location,company,hire_time,graduate_time,company_industry,company_size,salary,qualifications
"Research Engineer Intern - Perception, 3D Reconstruction",10-04-2025,https://jobright.ai/jobs/info/67f851c91edbfb9b1896bc65?utm_source=1099&utm_campaign=Software Engineer,"Santa Clara, CA",Plus,,,"Artificial Intelligence (AI),Autonomous Vehicles",251-500,$19-$65 /hr,"1. Pursuing MS or PhD in CS, EE, mathematics, statistics or related field
2. Proficient in Python programming
3. Experience with computational geometry: 3D computer vision, reconstruction, or computer graphics"
Software Engineer Intern,10-04-2025,https://jobright.ai/jobs/info/67f835e05535f89dbc9be7ec?utm_source=1099&utm_campaign=Software Engineer,Concord Home Office Branch,Auto-Owners Insurance,Summer,,"Auto Insurance,Insurance",5001-10000,,"1. A strong desire to learn!
2. Critical thinking and problem-solving skills
3. The ability to work as part of a team
..."
Software Engineering Intern,10-04-2025,https://jobright.ai/jobs/info/67f835e05535f89dbc9be7f1?utm_source=1099&utm_campaign=Software Engineer,Concord Home Office Branch,Auto-Owners Insurance,Summer,,"Auto Insurance,Insurance",5001-10000,,"1. A strong desire to learn!
2. Critical thinking and problem-solving skills
3. The ability to work as part of a team
..."
Streaming Software Engineer Intern,10-04-2025,https://jobright.ai/jobs/info/67f8200e8f14befa8e493182?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
United States
Remote - United States",Wurl,,,"Advertising,Content Delivery Network",101-250,$30-$30 /hr,"1. Currently pursuing a Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field
2. Strong programming skills in languages such as Go or Python
3. Understanding of common data structures and algorithms
..."
Front End Engineering Apprentice,10-04-2025,https://jobright.ai/jobs/info/67f818cf7f628b16a2923379?utm_source=1099&utm_campaign=Software Engineer,"Santa Ana, CA",TTM Technologies,,,"Electronics,Hardware",10000+,$46119-$72897 /yr,"1. Basic computer skills
2. Proficient with Microsoft Office
3. Ability to read, write and communicate in English to the degree necessary to perform the job
..."
DGX Cloud Infrastructure Engineering Intern - Fall 2025,10-04-2025,https://jobright.ai/jobs/info/67f818cf7f628b16a2923342?utm_source=1099&utm_campaign=Software Engineer,"US, CA, Santa Clara",NVIDIA,2025-Fall,2025,"Artificial Intelligence (AI),GPU",10000+,$18-$71 /hr,"1. Currently pursuing a Bachelor's, Master's, or PhD degree within Computer Engineering, Electrical Engineering, Computer Science, or a related field
2. Course or internship experience related to the following areas required: Computer Architecture, Deep Learning or Machine Learning, GPU computing and Parallel Programming, Performance Modeling, profiling, optimizing, and/or analysis
3. Prior experience or knowledge required on the following programming skills and technologies: C, C++, Python, Perl, GPU Computing (CUDA, OpenCL, OpenACC), Deep Learning Frameworks (PyTorch, TensorFlow, Caffe), HPC (MPI, OpenMP)"
Front-End Developer Intern,10-04-2025,https://jobright.ai/jobs/info/67f81655fef42498410c45e6?utm_source=1099&utm_campaign=Software Engineer,"Philadelphia, PA",Guidewire Software,Summer,2024,"Enterprise Software,InsurTech",1001-5000,$50000-$96000 /yr,"1. In the final year or recently completed a Master’s degree in Computer Science, Software Engineering, or a related field.
2. Foundational knowledge of web development, including experience with HTML, CSS, SASS, and JavaScript.
3. Familiarity with the React framework.
..."
Software Engineer Intern- Parts Team,10-04-2025,https://jobright.ai/jobs/info/67f81655fef42498410c45a0?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Chicago, IL
Chicago (Green St), IL",CCC Intelligent Solutions,Summer,,"Artificial Intelligence (AI),Cloud Data Services",1001-5000,$20-$43 /hr,"1. Java
2. AWS
3. Postgress
..."
Quality Assurance Intern,10-04-2025,https://jobright.ai/jobs/info/67f80cb89880e2e05912d383?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Dallas, TX
Dallas, TX, USA",Creation Technologies,,,"Logistics,Manufacturing",5001-10000,,"1. Demonstrated ability to solve practical problems and make logical decisions.
2. Support corrective action responses, as required.
3. Occasional contact and communication with other Creation functional areas, plus occasional outside contact and communication with vendors and certification/ inspection/ audit agencies.
..."
UI Intern,10-04-2025,https://jobright.ai/jobs/info/67f821a08f14befa8e493477?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
United States
US-Remote",Actian,2025-June,,"Analytics,Big Data",251-500,$20-$30 /hr,"1. Must be actively enrolled in a college degree program
2. Must be legally authorized to work in the Country of Employment"
